origin,job_original,populations_original,origin_DA_id,job_increase
14042716,347350.0,314450.0,35200944,55170.0
30058078,1885.0,23869.0,35201822,0.0
20039266,61410.0,217646.0,35204554,1170.0
14050921,6180.0,16382.0,35204406,0.0
13461098,2810.0,24587.0,35202977,0.0
13452905,105.0,3325.0,35203049,0.0
13452909,475.0,1624.0,35202161,0.0
13461100,121685.0,267945.0,35200589,0.0
20031084,442650.0,369537.0,35201426,95330.0
13452912,80.0,565.0,35203452,0.0
14018158,30765.0,73558.0,35201440,8950.0
13444725,340.0,2526.0,35202501,0.0
13461112,46130.0,213916.0,35203880,0.0
13461120,39935.0,182969.0,35200652,0.0
13452931,595.0,7428.0,35203286,0.0
30017158,465940.0,414722.0,35202808,101810.0
13461128,113790.0,304097.0,35204531,359230.0
13469321,1390.0,9751.0,35201611,0.0
13469333,11000.0,29761.0,35201517,0.0
13444764,6280.0,22828.0,35202507,0.0
13452959,10320.0,27810.0,35202368,55845.0
13452965,105.0,3202.0,35203050,0.0
13452966,13290.0,38919.0,35202357,23145.0
20080297,221810.0,296716.0,35200720,27850.0
13452979,55.0,1222.0,35200459,0.0
14018228,1270.0,4049.0,35200884,0.0
13461173,610.0,7642.0,35201720,0.0
13461174,462365.0,380136.0,35200747,80750.0
13461176,148575.0,286425.0,35200581,18730.0
13461178,222950.0,299136.0,35204497,27850.0
13444805,915.0,9489.0,35203722,0.0
13452998,10310.0,27919.0,35202366,54315.0
13461192,43765.0,203609.0,35203883,0.0
14051017,67405.0,217462.0,35200686,0.0
13453001,12785.0,34467.0,35204774,0.0
13469389,10965.0,29774.0,35201524,0.0
13469391,1360.0,8896.0,35201610,0.0
13461208,239995.0,303434.0,35200733,27850.0
13444828,705.0,9440.0,35202523,0.0
13444829,575.0,7661.0,35200190,0.0
13461215,192990.0,352605.0,35204516,1170.0
14018272,416645.0,354058.0,35203838,87115.0
13469409,10910.0,29902.0,35201523,0.0
30033633,200.0,5289.0,35200289,0.0
13461216,18275.0,76850.0,35204450,0.0
13453032,550.0,4487.0,35204339,0.0
14051053,189460.0,276262.0,35200715,8715.0
13444859,575.0,7752.0,35200307,0.0
20154109,478170.0,463745.0,35200756,85755.0
13444868,45.0,485.0,35200220,0.0
30000901,225.0,4862.0,35200175,0.0
13461254,685.0,7613.0,35201785,0.0
20154119,472000.0,460314.0,35200757,85460.0
14067463,143570.0,322078.0,35204537,280530.0
13444879,1715.0,5489.0,35200224,0.0
14608149,420.0,941.0,35203190,0.0
13469461,1505.0,9827.0,35201612,0.0
14173976,140.0,1956.0,35201989,0.0
14051102,53655.0,202077.0,35203211,0.0
13461282,169295.0,338825.0,35204527,73745.0
13444904,3910.0,38975.0,35200201,0.0
14673705,383260.0,206621.0,35200870,83010.0
30058294,3840.0,38401.0,35204788,0.0
13461307,105815.0,294377.0,35204534,342535.0
13461308,215145.0,295766.0,35204500,33390.0
13461309,29650.0,135828.0,35203242,0.0
14042949,123130.0,229591.0,35201352,1335.0
13444936,3910.0,39088.0,35200198,0.0
13453130,140.0,2284.0,35202170,0.0
13461322,108520.0,307035.0,35204529,173605.0
13444941,0.0,1168.0,35203953,0.0
30009172,405.0,2764.0,35201762,0.0
13453142,140.0,2443.0,35202174,0.0
30107477,380.0,970.0,35202560,0.0
13461336,41145.0,189283.0,35200657,0.0
14018392,388600.0,329835.0,35200923,92425.0
13469537,11010.0,29806.0,35201518,0.0
13461348,239980.0,378449.0,35204521,1675.0
13461349,359330.0,306631.0,35200736,28355.0
13453160,3515.0,9200.0,35202712,0.0
